feedback_id,timestamp_,source,user_id,rating,feedback,escalated_flag,label,sample problem related,customer_type
T1235506,2025-05-09,escalation,WE220479,,9717361751 as per op kh rha hai ki app se rc upload krneka option n aa rha haiu plz check ,TRUE,,,Operator
T1236535,2025-05-09,escalation,WE25622,,dhhs,TRUE,,,Consigner
T1236825,2025-05-09,escalation,WE4659596,,Party ne location wheelsEye application mein Dali thi usse alag party ne location bheji Hai 30 kilometer  | Extra Distance : 30 | Extra Distance Expense : 2000,TRUE,,,Operator
T1237311,2025-05-09,escalation,WE524347,,Unloading  me 10 hourse  extra lga h,TRUE,,,Operator
T1237684,2025-05-10,escalation,WE728095,,Advance issue ,TRUE,,,Operator
T1238815,2025-05-10,escalation,WE471634,,Delivery koi deri nahi hai 24 hrs no entry area ki wajah se late hua hai,TRUE,,,Operator
T1239602,2025-05-11,escalation,WE7344206,,"7020615845 CALLING NO
OP KO BILTI MAI OTP WRONG MILA HAI NA HI KOI DOCUMENTS MILE HAI PLZ PROVIDE",TRUE,,,Operator
T1239658,2025-05-11,escalation,WE6389365,5.0,1250,TRUE,,,Operator
T1240269,2025-05-11,escalation,WE1209479,,Calling no -- 9990522138  As per op voc iye vehicle DL1LAM5953 op ne sold kar di hai KYC reject karni hai ... ,TRUE,,,Operator
T1241207,2025-05-12,escalation,WE5826283,,Material is short in quantity,TRUE,,,Consigner
T1241285,2025-05-12,escalation,WE2989815,,It ki vajah se din mein gadi nahin chal sakti raat ko gadi chalegi aaj raat ko gadi pahunchaiye,TRUE,,,Operator
T1242075,2025-05-12,escalation,WE3555956,,Gaadi break down ho gyi thi,TRUE,,,Operator
T1242154,2025-05-12,escalation,WE2989815,,9166741030 as per op voc op ko apne papa ke naam pr kyc krani hai kyoki rc unhi ke naam pe hai plz chck,TRUE,,,Operator
T1242904,2025-05-13,escalation,WE32407,,CALLING NO - 9968020327WE35392-2289732AS PER OP VOC OP KI GAADI OVERLOAD HAI 9.8 PLEASE CHECK OP APP SE TICKET NHI BNA PATA HAI OP KO NHI PTA THA UNLOADING POINT PR GAADI KA WAIT HUA HAI ,TRUE,,,Operator
T1244405,2025-05-13,escalation,WE6976453,,Do jagah gadi Khali Hui hai | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1244815,2025-05-14,escalation,WE2931820,,cl no. 8379863636 as per op bilti nhi mili hai saare docs mil gye hai please check vechile transit hai ,TRUE,,,Operator
T1244857,2025-05-14,escalation,WE20305,,Party currant location change  | Extra Distance : 15 | Extra Distance Expense : 1500,TRUE,,,Operator
T1245735,2025-05-14,escalation,WE2744208,,calling no . 9911125425 as per op voc vehicle abhi tk loading nhi hua hai pls check ,TRUE,,,Operator
T1247592,2025-05-15,escalation,WE7270387,,Need more time to pay,TRUE,,,Consigner
T1247970,2025-05-15,escalation,WE4779067,,माल की पैकेजिंग सही से नहीं हुई है-,TRUE,,,Operator
T1247987,2025-05-15,escalation,WE7349385,,driver not receiving my call ,TRUE,,,Consigner
T1248468,2025-05-15,escalation,WE3657468,,Refund problem ,TRUE,,,Operator
T1248596,2025-05-15,escalation,WE2653659,,Receiving nhi de rha,TRUE,,,Operator
T1248825,2025-05-15,escalation,WE4030040,,Unhappy with my payment plan,TRUE,,,Consigner
T1250730,2025-05-16,escalation,WE6171626,,,TRUE,,,Operator
T1251418,2025-05-16,escalation,WE358127,,Gaadi nikal gai hai maal leke builty  nhi nhi driver k pass koi raste me rokega uske zimadar wheelseye hoga 5 ghante  ho gye builty k intezaar me,TRUE,,,Operator
T1223784,2025-05-03,escalation,WE3145867,,rani.kumari3@wheelseye.com,TRUE,,,Operator
T1224928,2025-05-03,escalation,WE5234840,,बिलटी चाहिये,TRUE,,,Operator
T1226258,2025-05-04,escalation,WE505529,,Balence payment nahi mila ,TRUE,,,Operator
T1227009,2025-05-05,escalation,WE170717,,Calling no. 9958015913 As per OP voc loading party ne driver ke saath misbehave kiya hai or driver ko mara hai . please check this or cordinate with op. ,TRUE,,,Operator
T1227092,2025-05-05,escalation,WE5210598,,"#Correct loads not showing 
Vehicle Type with Operator - 10.5, 12 MT
Loads Type -14mT
Calling no. 9991806066, As per  OP voc uske app m sirf 14 mt ke load show ho rhe hai. please check this",TRUE,,,Operator
T1228389,2025-05-05,escalation,WE5954742,,calling no.9342441121  op ko ab tak party ne receiving nahi di hai please check ,TRUE,,,Operator
T1229397,2025-05-06,escalation,WE7094501,,"calling no - 9990139822
as per op driver ne denied nhi kia hai vehicle loading point par load ho rhi hai please check and response ",TRUE,,,Operator
T1230156,2025-05-06,escalation,WE7576302,,"Which bill needs to be uploaded, the bill from my firm or anything else ? ",TRUE,,,Operator
T1230668,2025-05-06,escalation,WE689803,1.0,टीडीएस बना दीजिए,TRUE,,,Operator
T1231653,2025-05-07,escalation,WE6868614,,"driver is denying for loading as he has some personal issue 
",TRUE,,,Consigner
T1233315,2025-05-08,escalation,WE2732699,1.0,CALLING NO -9131276980 AS PER OP VOC TOKEN REFUND CHAIYA PARTY NE BOLA HAI MENE CANCEL NAHI KI HAI TRIP WHEELSEYE WALO NE KRE HAI OR PARTY BOL RAHA AJ ANA KO PLEASE CHECK ,TRUE,,,Operator
T1235267,2025-05-09,escalation,WE981675,,#TRIP UPDATE ISSUE ,TRUE,,,Operator
T1235525,2025-05-09,escalation,WE2279491,,"As per op vehicle kal se unloading point pa hai unload nhi hora haii

party ke pas labour nhi haiii half material unlod hua haii.

Mob no - 8802888637",TRUE,,,Operator
T1235586,2025-05-09,escalation,WE7077154,,Calling no. 9634307472 As per  OP voc uski  gaadi party unload nahi kr rhi hai.  op ke app se complain nahi bn pa  rhi hai policy read krne ka option aa rha hai. vehicle ko unloading point pe 6 hr se jada ka time ho gaya hai please checkt h is,TRUE,,,Operator
T1252289,2025-05-17,escalation,WE995219,,as per op voc op ki gqadi dusre point per load nhi hi hai abhi tk plz check  7678563838,TRUE,,,Operator
T1252497,2025-05-17,escalation,WE4967269,,`,TRUE,,,Operator
T1253266,2025-05-17,escalation,WE7635457,,driver ka 7k address karna hai Location  me  66km  jada hai isleya ap driver ka 7k add kar de bil  me ,TRUE,,,Consigner
T1254173,2025-05-18,escalation,WE834393,5.0,Wrong trip end ,TRUE,,,Operator
T1254294,2025-05-18,escalation,WE5518644,1.0,"calling no - 9812502460
as per op cx call ka response nhi de rhe hai and location bhi exact nhi mil rhi hai ",TRUE,,,Operator
T1256137,2025-05-19,escalation,WE3552292,,Wrong or missing invoice/POD,TRUE,,,Consigner
T1256258,2025-05-19,escalation,WE2939868,,9711424360 OP KI LOADING PRTY KA JAWAB NHI MILA HAI PLZ CHECK APP SE TICKET BNA RHA HAI TO WHI NO. SHOW HO RHA HAI PLZ CHECK,TRUE,,,Operator
T1258361,2025-05-20,escalation,WE2459804,,Anloding at tomorrow 9 a.m .,TRUE,,,Operator
T1259802,2025-05-21,escalation,WE402153,,calling no.9451488189 op ki gaadi ab tak unload nahi hui hai please check op ko party ki taraf se koi proper response nahi mile raha hai ,TRUE,,,Operator
T1260243,2025-05-21,escalation,WE20305,,Unloading location and party location different @10 km | Extra Distance : 10 | Extra Distance Expense : 1000,TRUE,,,Operator
T1261117,2025-05-21,escalation,WE3906231,,WE35392-2294631  9306310425 as per op kh rha hai billty n mila hai plz check ,TRUE,,,Operator
T1261539,2025-05-22,escalation,WE7475315,,Draw point adress galat hai | Extra Distance : 50 | Extra Distance Expense : 2000,TRUE,,,Operator
T1262213,2025-05-22,escalation,WE6420979,5.0,HR 61 F 0554,TRUE,,,Operator
T1263150,2025-05-22,escalation,WE3362199,,Please add the detention for 2 days haulting,TRUE,,,Operator
T1263730,2025-05-22,escalation,WE750123,,9106074362 as per op kh rh hai ki pod n mila hai plz cjeck ,TRUE,,,Operator
T1263745,2025-05-22,escalation,WE2248310,,please correct our details ,TRUE,,,Consigner
T1264241,2025-05-23,escalation,WE344878,,"As per op voc op ko bilti nhi mile hai vehicle move ker de hai op ne op ko response ker dejiye 
calling no - 8059585390",TRUE,,,Operator
T1264387,2025-05-23,escalation,WE4301847,1.0,Issues with due amount,TRUE,,,Consigner
T1265057,2025-05-23,escalation,WE7301236,,"calling no - 7678351709 
#trip update issue 
vehicle loading point par hai but trip update nhi ho hai hai please update trip urgent",TRUE,,,Operator
T1265832,2025-05-23,escalation,WE2577349,,"Vip area
Please help to unload vehicle ",TRUE,,,Operator
T1267701,2025-05-24,escalation,WE3594932,,calling no. 6378574581 op ko  jo number mila hai wo band ja raha hai please check ,TRUE,,,Operator
T1269063,2025-05-25,escalation,WE3268385,,Calling no.9769575202 As per OP voc jo no provided hai uspe baat nahi ho pa rhi hai party se. op ke app m sirf callilng no show ho rha hai. ticket raise nahi ho pa rhi hai.,TRUE,,,Operator
T1269256,2025-05-25,escalation,WE7618207,,Gate entry nhi karne de rha ,TRUE,,,Operator
T1269468,2025-05-25,escalation,WE6903822,,Pod नही मिल रही है ,TRUE,,,Operator
T1270770,2025-05-26,escalation,WE4046559,,"calling no - 8826030767 
as per op vehicle demand ke according hi thi but cx ko badi vehicle ki requirement thi op ka fault nhi hai token refund mang rhe hai please check ",TRUE,,,Operator
T1271706,2025-05-26,escalation,WE5358906,,"Calling no.8930189726, As per OP voc jo no provided hai uspe baat nahi ho pa rhi  hai. please check this 
NOte: op apne app se complain raise kr rha hai to sirf calling no show ho rha hai party ka. ",TRUE,,,Operator
T1272848,2025-05-27,escalation,WE2180791,,cl no. 7000836160 as per op cancellation chrg ki demand kr rhe op hyper h please check ,TRUE,,,Operator
T1273323,2025-05-27,escalation,WE7358309,,Issues with due amount,TRUE,,,Consigner
T1273524,2025-05-27,escalation,WE2676534,,8 km aage gyi hai  | Extra Distance : 8 | Extra Distance Expense : 500,TRUE,,,Operator
T1273611,2025-05-27,escalation,WE7421835,,by mistake too pay  party pay the cash money to drive for this trip and drive and operater not received call,TRUE,,,Consigner
T1274335,2025-05-27,escalation,WE5076069,,Railway ka material tha waha pe no entry th gadhi raat me enter krwani padi,TRUE,,,Operator
T1277041,2025-05-28,escalation,WE2367038,,Party ke dwara gadi roka Gaya,TRUE,,,Operator
T1281088,2025-05-30,escalation,WE686677,,"Unable to update tripCalling no. 6375214262, As per OP voc uske app pe trip update krne ka option nahi aa rha hai sirf driver no. change or vehciel no. change krne ke  liye show ho rha hai, op ki vehicle loading point pe hai pleae check this",TRUE,,,Operator
T1281253,2025-05-30,escalation,WE205441,,calling no.9356417032  op ki gaadi loading point pay hai op ko trip update karni hai please check ,TRUE,,,Operator
T1281692,2025-05-30,escalation,WE2236839,1.0,gadi abhi tak Delhi mein ki hun ?gadi part lod ho rahi hai,TRUE,,,Consigner
T1282473,2025-05-31,escalation,WE5047654,1.0,,TRUE,,,Operator
T1283005,2025-05-31,escalation,WE7587348,5.0,"not able to download builty against e-way bill no. 271970697976

plz share the Builty",TRUE,,,Consigner
T1284050,2025-05-31,escalation,WE6007449,,customer side se fo ke paas proper responce nhi aa rha hai gadi load krne ke liye ,TRUE,,,Operator
T1284375,2025-05-31,escalation,WE6574337,,Material is short in quantity,TRUE,,,Consigner
T1284748,2025-05-31,escalation,WE705237,1.0,Unloading detention???,TRUE,,,Operator
T1285749,2025-06-01,escalation,WE3993676,1.0,"Loading point se party ki
Location 16 km tarik h | Extra Distance : 16 | Extra Distance Expense : 1500",TRUE,,,Operator
T1285886,2025-06-01,escalation,WE7250807,1.0,Ak point bola gaya tha unloading k liye dusri jagah unloading k liye le ja rahe hai 50% load | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1285947,2025-06-01,escalation,WE1466933,,9813225654 as per op voc keh rha hai bilty nhi mili hai gaadi nikl chuki hai,TRUE,,,Operator
T1289202,2025-06-03,escalation,WE4278816,,"Op voc multiple unloading point hai or 700 km tak cng nhi hai.

Mob no - 8750412604 ",TRUE,,,Operator
T1289711,2025-06-03,escalation,WE7539869,1.0,Damage Issue,TRUE,,,Consigner
T1236506,2025-05-09,escalation,WE7344206,,Calling no -- 7020615845  As per op voc op bol rahe hai plz check  WE side op ki bat hui hai but bhaitak balance  release nahi kiya gya hai .... ,TRUE,,,Operator
T1236802,2025-05-09,escalation,WE3708113,5.0,bill incorrect ,TRUE,,,Consigner
T1236894,2025-05-09,escalation,WE12566,,24 gnte se jyeda ho gae unloading point par,TRUE,,,Operator
T1237307,2025-05-09,escalation,WE7551214,,need bilty ,TRUE,,,Consigner
T1237596,2025-05-10,escalation,WE5486588,,Pls add 1000 | Unloading Charge : 1000 | phone Number : 9997117251 | Name : Party k pas labour nahi hai driver se khali kra rahe hai,TRUE,,,Operator
T1237869,2025-05-10,escalation,WE7508322,,Issues with due amount,TRUE,,,Consigner
T1238071,2025-05-10,escalation,WE6027867,,he is not picking up the call,TRUE,,,Consigner
T1239112,2025-05-10,escalation,WE5425603,,Issues with due amount,TRUE,,,Consigner
T1239132,2025-05-10,escalation,WE7611002,,2 tan avrlod hai please check ,TRUE,,,Operator
T1240207,2025-05-11,escalation,WE3311698,,calling no. 9036614848 as per op bility nhi mili hai ,TRUE,,,Operator
T1241357,2025-05-12,escalation,WE4012636,,Issues with due amount,TRUE,,,Consigner
T1241482,2025-05-12,escalation,WE7012155,,"CALLING NO - 7340399548
WE35392-2290288
OP KA BALANCE 1000 RS SHOW KR RHA HAI WO ABHI OP KO RECEIVE NHI HUA HAI WO CANCELLATION KA AMOUNT HAI PLEASE CHECK ",TRUE,,,Operator
T1242108,2025-05-12,escalation,WE715383,,,TRUE,,,Operator
T1243241,2025-05-13,escalation,WE732180,5.0,CALLING NO -8920371291 AS PER OP VOC TRIP UPDATE NAHI HO RAHE HAI VEHICLE UNLOADING PE PHUCH GAYE HAI PLEASE CHECK ,TRUE,,,Operator
T1244535,2025-05-13,escalation,WE6578353,,kindly send builty and payment mode to pay as i have already told kindly remove 3% discount,TRUE,,,Consigner
T1244850,2025-05-14,escalation,WE789089,,"# No loads showing in new loads
CALLING NO - 7303294991
AS PER OP VOC OP KO APNI LANE KE ACCORDING LOAD SHOW NHI HO RHE HAI JB SE SUBSCRIPTION LIYA HAI TB SE YE PROBLEM AA RHI HAI PLEASE CHECK ",TRUE,,,Operator
T1244980,2025-05-14,escalation,WE7456993,,Issues with due amount,TRUE,,,Consigner
T1245004,2025-05-14,escalation,WE1316226,,Gadi abhi bhi loding pe nhi lagi h ,TRUE,,,Operator
T1246213,2025-05-14,escalation,WE7450066,,Exhausted my credit limit,TRUE,,,Consigner
T1248177,2025-05-15,escalation,WE2653659,,Please add unloading detention ,TRUE,,,Operator
T1249934,2025-05-16,escalation,WE1349041,5.0,Gadi 14 tarik rat ko puch gyi thi abhi tak khali nhi hue,TRUE,,,Operator
T1250359,2025-05-16,escalation,WE5828750,,Bill abhi nahi diye,TRUE,,,Operator
T1252980,2025-05-17,escalation,WE5076069,,calling no 7982855603 as per op voc loading party ka responce nhi mil rha hai plz look ,TRUE,,,Operator
T1253861,2025-05-18,escalation,WE5892655,,POD जमा कर दी है बाकी बैलेंस नहीं मिला है सर जी ,TRUE,,,Operator
T1253942,2025-05-18,escalation,WE7364418,1.0,Need more time for current billing,TRUE,,,Consigner
T1254245,2025-05-18,escalation,WE2316851,,सर ओवरहेड की प्रॉब्लम है बिल सही कस्टमर केयर का फोन आया था ऑर्डर कंफर्म होने से पहले की 7 फीट हाइट का मटेरियल है 8.30 फीट हाइट कम ले जिसमें हमने गाड़ी 7 फीट हाइट की भेजी थी टू आवर हाइट हो रही है इसका समाधान जल्द से जल्द करवाइए,TRUE,,,Operator
T1254301,2025-05-18,escalation,WE6540867,,Need to trasfer money from wallet to bank,TRUE,,,Operator
T1254386,2025-05-18,escalation,WE6544708,,i need builty ,TRUE,,,Consigner
T1254728,2025-05-18,escalation,WE2240867,5.0,,TRUE,,,Operator
T1254974,2025-05-19,escalation,WE757641,,"# Correct loads not showing
Vehicle Type with Operator - 7 ton 
Loads Type - 14 ton 

As per op 7 ton ke load chahiye or app mein 14 ton ke load show hora haii.

Mob no - 8851770538
",TRUE,,,Operator
T1255164,2025-05-19,escalation,WE569099,,"As per op kal se vehicle 2nd loading point par hai load nhi hora hai.

MOB NO - 8307757663 

( APP SE TICKET RAISE NHI HOGA VEHICLE TRANSIT MEIN SHIFT HAI ) ",TRUE,,,Operator
T1255183,2025-05-19,escalation,WE862326,,"calling no - 9311134400
as per op app se pod upload nhi ho rhi hai error aa rha hai please call op for pod verification and release balance",TRUE,,,Operator
T1255282,2025-05-19,escalation,WE7076568,,Kam karne ka Tarika nahin aata to fir kyon gadi bhejte ho aap log,TRUE,,,Operator
T1257057,2025-05-20,escalation,WE253540,,गाड़ी लोकेशन पर दूसरी जगह गई है अपडेट नहीं हो रही | Extra Distance : 1500 | Extra Distance Expense : 1500,TRUE,,,Operator
T1259168,2025-05-21,escalation,WE6206873,5.0,actual weight is 11285. kindly apply extra charges according to freight,TRUE,,,Consigner
T1259521,2025-05-21,escalation,WE7022456,5.0,"As per op voc op ke party se baat nhi ho pe rhi hai vehicle loading point ppe hai plz hceck 
calling no - 9967735001",TRUE,,,Operator
T1260610,2025-05-21,escalation,WE7298760,,Exhausted my credit limit,TRUE,,,Consigner
T1262576,2025-05-22,escalation,WE3622377,,Plz update my bank details ,TRUE,,,Operator
T1262716,2025-05-22,escalation,WE5939451,,Need more time for current billing,TRUE,,,Consigner
T1263090,2025-05-22,escalation,WE5284143,,it is showing 0 when I'm trying to deduct TDS,TRUE,,,Consigner
T1263433,2025-05-22,escalation,WE7475943,,DL1LAL5737,TRUE,,,Operator
T1264489,2025-05-23,escalation,WE440100,,Adhard card not linked to pan card ,TRUE,,,Operator
T1269262,2025-05-25,escalation,WE17031,5.0,Sale ne gadi pakri thi to 40 km extra chali thi truck  | Extra Distance : 40 | Extra Distance Expense : 1000,TRUE,,,Operator
T1269509,2025-05-25,escalation,WE4657414,,Opt nat send,TRUE,,,Operator
T1269809,2025-05-25,escalation,WE3694215,,hello tell me what's happening ,TRUE,,,Consigner
T1290141,2025-06-03,escalation,WE4294261,,Gadi khali nhi hui h abhi plzzz Detensun add kare ,TRUE,,,Operator
T1291481,2025-06-04,escalation,WE6507471,,"CALLING NO - 9671753550
WE35392-2301406
AS PER OP VOC OP KI GAADI 3 RD JUNE KO MORNING ME 4 BJE PAHUCH GYI THI PR OP KA PHONE KHARAB HO GYA THA TO TRIP LATE START HUI HAI TO OP BOL RHA HAI 24 HOURS SE JADA GAADI KHADI THI OP KO DETENTION CHAHIYE ",TRUE,,,Operator
T1292364,2025-06-04,escalation,WE5398470,1.0,Sir third party unload nahin kar rahi hai ,TRUE,,,Operator
T1292938,2025-06-04,escalation,WE581189,,17 feet ki gardi h gardi mai mall lord ho raha h 22 feet ka  | Over height : 5 feet in feet,TRUE,,,Operator
T1293091,2025-06-04,escalation,WE7152347,,8076542576 as per op kh rha hai ki unlaoding point pe hai unlaod n ho rha hai plz chck ,TRUE,,,Operator
T1293637,2025-06-05,escalation,WE786402,,| Overload : Moghy kata par ruk ny ky kha tha in tons,TRUE,,,Operator
T1294763,2025-06-05,escalation,WE7530884,,Code note sand,TRUE,,,Operator
T1295371,2025-06-05,escalation,WE3105300,,Abhi tak bity nahin mila hai,TRUE,,,Operator
T1295421,2025-06-05,escalation,WE7503128,,still OP mobile has been switched off ,TRUE,,,Consigner
T1295452,2025-06-05,escalation,WE202682,5.0,calling no. 9268039996 as per op gadi no. change krna hai op app se nhi kr pa rhe hai gadi load ho gai hai ,TRUE,,,Operator
T1295800,2025-06-05,escalation,WE7273666,,OTp send me ,TRUE,,,Operator
T1297249,2025-06-06,escalation,WE406351,,"CALLING NO - 9971689040
WE35392-2303380
AS PER OP VOC PARTY CONFIRM NHI KR RHI HAI KI KB GAAD LOAD HOGI KOI RESPONSE NHI KR RHI HAI OR OP KE APP SE TICKET NHI BAN RHI HAI ",TRUE,,,Operator
T1297626,2025-06-06,escalation,WE205702,1.0,"Wrong Loading MATERIAL DUE ALL  LOAD IN LOADED FRONT SIDE IN COINTAI ER SO DIFFICULT TO RUN THIS VEH , SO SET THIS LOAD IN PROPER IN ALL BODY ",TRUE,,,Operator
T1298050,2025-06-06,escalation,WE5178125,,driver till now on the same location he didn't move the vehicle,TRUE,,,Consigner
T1299882,2025-06-07,escalation,WE2446992,,remove overload charges there is no ant overload and you didn't inform me for this,TRUE,,,Consigner
T1300344,2025-06-08,escalation,WE206855,,"# No loads showing in new loads
 OP KO APP MEIN LOAD SHOW NHI HORA HAI.

MOB NO - 9393931616",TRUE,,,Operator
T1300715,2025-06-08,escalation,WE2653659,,No response from loading party,TRUE,,,Operator
T1301712,2025-06-09,escalation,WE360253,,Vehicle breakdown on way ,TRUE,,,Operator
T1303069,2025-06-10,escalation,WE1267950,,Vechicle is overload | Overload : 615kg in tons,TRUE,,,Operator
T1303937,2025-06-10,escalation,WE2519738,,"
8299029892 | Mr Deepak
7428183007 | Mr Prmod 

YE DONO NO MILA HAI OP KO RESPONSE NHI MIL RHA HAI PARTY SE.

MOB NO - 9582487435 ",TRUE,,,Operator
T1305661,2025-06-11,escalation,WE6994982,,Unloading point wrong  | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1305847,2025-06-11,escalation,WE7487194,,Need wallet balance in my bank,TRUE,,,Operator
T1306634,2025-06-11,escalation,WE7339933,5.0,Issues with due amount,TRUE,,,Consigner
T1307644,2025-06-12,escalation,WE7251251,,"Gadi Khali Kara de ji gadi anloding point par 24, ghante se Jayda ruki hai Ji please gadi ka detention charge Laga de ji ",TRUE,,,Operator
T1308151,2025-06-12,escalation,WE7551907,,need to change billing details,TRUE,,,Consigner
T1308303,2025-06-12,escalation,WE5067961,1.0,Wheels eye ke map me location change bhokr show ho rha h | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1308937,2025-06-12,escalation,WE6582771,,कल की गाड़ी आई है इसकी खोटी कौन देगा,TRUE,,,Operator
T1308995,2025-06-12,escalation,WE7597619,,Need more time to pay,TRUE,,,Consigner
T1310221,2025-06-13,escalation,WE995219,1.0,,TRUE,,,Operator
T1311260,2025-06-13,escalation,WE196102,,Pod nhi mil rahi h,TRUE,,,Operator
T1311349,2025-06-13,escalation,WE6490171,1.0,"9717369193 op kehr ha hai prty koi jawab nhi de rhi hai plz check


note app se complaint bna rha hai to usme whi no. aa rha hai baar baar ",TRUE,,,Operator
T1312279,2025-06-14,escalation,WE3792396,,CALLING NO -8505978048 AS PER OP VOC POD NAHI MILE HAI VEHICLE UNLOADING HO GAYE HAI PARTY BOL RAHE HAI KHUD SE SIGNATURE  KRLO AP PLEASE CHECK ,TRUE,,,Operator
T1312618,2025-06-14,escalation,WE7424792,5.0,Need more time for current billing,TRUE,,,Consigner
T1312887,2025-06-14,escalation,WE7291839,,CALLING NO.  9049839140 AS PER OP GADI BRKDOWN HAI PLEASE CHANGE THE VEHICLE NO. MH12WJ7965,TRUE,,,Operator
T1312949,2025-06-14,escalation,WE4971302,,calling no . 9654933335 as per op voc party load ke liye confirm nhi kr rahi hai party ne kuchh materiel other location se vehicle me load kiya tha but unload krke other vehicle me load kr diya pls check  ,TRUE,,,Operator
T1314384,2025-06-15,escalation,WE7408682,5.0,,TRUE,,,Operator
T1314837,2025-06-15,escalation,WE31106,,"Vehicle reach 11 June 5 am and unloaded on 15 June  5 pm
Plz call 98691638282 if u need any update",TRUE,,,Operator
T1315486,2025-06-16,escalation,WE3889927,,Gadi unload hogyi hai pls update. Khali hoke ahmedabad jari hai trip ko update kardo,TRUE,,,Operator
T1318154,2025-06-17,escalation,WE6846728,,test,TRUE,,,Consigner
T1318413,2025-06-17,escalation,WE6391843,,Damage Issue,TRUE,,,Consigner
T1319735,2025-06-18,escalation,WE4401293,,"calling no. 9102299756 as per op gadi abhi tak unload nhi kiya hai pleases check and update 
",TRUE,,,Operator
T1322575,2025-06-19,escalation,WE6947283,1.0,Issues with due amount,TRUE,,,Consigner
T1322694,2025-06-19,escalation,WE7517432,,CALLING NO -9712041407 AS PER OP VOC BILTI NAHI MILE HAI BAKI DOCUMENT MIL GAYE HAI PLEASE CHECK ,TRUE,,,Operator
T1323189,2025-06-19,escalation,WE7511470,,Damage Issue,TRUE,,,Consigner
T1323970,2025-06-20,escalation,WE529409,,,TRUE,,,Operator
T1324116,2025-06-20,escalation,WE7079909,,Issues with due amount,TRUE,,,Consigner
T1324473,2025-06-20,escalation,WE5469937,,Gade ma mal choda hai 9.5 fit | Over height : Choda hai 9.5 fit in feet,TRUE,,,Operator
T1324539,2025-06-20,escalation,WE7302968,,My vechile is hold due to party behaviour and I haven't get the loading detention amount and amt costing of rope extra demanded by the party ,TRUE,,,Operator
T1325934,2025-06-20,escalation,WE653078,,"AS PER OP FIRST UNLOADING POINT PAR 2 DIN TAK KHADI RHI HAI PLZZ CHECK 
CALLING NO- 9711262140",TRUE,,,Operator
T1326557,2025-06-21,escalation,WE3804352,,"driver is not moving
",TRUE,,,Consigner
T1326629,2025-06-21,escalation,WE4633266,,Isme party bol rhi ki 2 ya 3 jgha maal unloading hoga please update driver number 9953911687 please update  | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1326693,2025-06-21,escalation,WE6992506,5.0,Need more time for current billing,TRUE,,,Consigner
T1327862,2025-06-21,escalation,WE7370273,,Gadi bill nahi mila ,TRUE,,,Operator
T1328661,2025-06-22,escalation,WE6929535,,Please sand opt,TRUE,,,Operator
